Title,Organizations,Publication Year,Abstracts
Designing an optimized configuration for a hybrid PV/Diesel/Battery Energy System based on metaheuristics: A case study on Gobi Desert,"Henan Agricultural University, Henan University of Technology, University of Zakho, Urmia University of Technology, University of Bonab, Chulalongkorn University",2020,"© 2020 Elsevier LtdAmong different renewable energies, the sun as an endless source of energy has been the focus of many researchers worldwide. The use of solar radiation energy in conventional power generation systems can play an important role in reducing fuel consumption and environmental pollution. The importance of this energy has been increased when we need to supply the load demand, especially in desert-like places. The main objective of this research is to propose a new optimal hybrid solar/diesel/battery system to cover the demand load of a rural part in the Gobi Desert in China. The main objectives for optimization are the loss of load probability, CO2 emissions value, and the annualized cost of the system. Here, the ε-constraint method is adopted to simplify the multi-objective problem into a single objective problem. The optimization of the problem is performed by a developed version of the elephant herd optimization algorithm and the system sensitivity analysis has been analyzed on the parameters. Simulation results show that the proposed method can provide a reliable supplement for the load demand such that the PV penetration has a prominent impact by 97.9% of the costs. The results also present that the emitted CO2 gas by the proposed cEHO algorithm by 1735 kg/year is the minimum value compared with the PSO-based optimal system and HOMER software results. The initial capital cost of the system is also achieved 48,680 $ that specifies less value than the net present cost."
"Density, viscosity, and physical CO2 diffusivity of novel formulated solvent n-methyl-4-piperidinol and 2-amino-2-methyl-1-propanol for carbon capture","Chulalongkorn University, Chulalongkorn University, Mahidol University, King Mongkut's University of Technology Thonburi",2021,"© 2020 by the authors.Amine based CO2 capture is considered as one of the most effective technologies for mitigating global warming and climate change problems. The key of this technology is to use as highly effective solvent. In the present work, novel formulated MPDL-AMP solvent has been firstly introduced. Its essential data for determining and investigating the solvent performance as an alternative solvent for capturing CO2 has not yet been reported. Therefore, density, viscosity, and physical CO2 diffusivity of novel formulated MPDL-AMP solvent were determined in this work over ranges of concentrations and temperatures of 25%wt. MPDL/5%wt. AMP to 15%wt. MPDL/15%wt. AMP and 313 K to 333 K, respectively. The physical data reported in the present work are important for determining the optimum hydrodynamics of the fluid flow inside the absorption column as well as designing the height of the column through the kinetics and the mass transfer data. The results observed in the present work showed that the novel formulated MPDL-AMP solvent should be further investigated for its potential to be used as an alternative solvent for capturing CO2."
"Mapping the natural distribution of bamboo and related carbon stocks in the tropics using google earth engine, phenological behavior, landsat 8, and sentinel-2","Chulalongkorn University, Chulalongkorn University, Ltd, Los Baños, Western Sydney University, Lund University, Asian Institute of Technology",2022,"© 2020 by the authors. Licensee MDPI, Basel, Switzerland.Although vegetation phenology thresholds have been developed for a wide range of mapping applications, their use for assessing the distribution of natural bamboo and the related carbon stocks is still limited, especially in Southeast Asia. Here, we used Google Earth Engine (GEE) to collect time-series of Landsat 8 Operational Land Imager (OLI) and Sentinel-2 images and employed a phenology-based threshold classification method (PBTC) to map the natural bamboo distribution and estimate carbon stocks in Siem Reap Province, Cambodia. We processed 337 collections of Landsat 8 OLI for phenological assessment and generated 121 phenological profiles of the average vegetation index for three vegetation land cover categories from 2015 to 2018. After determining the minimum and maximum threshold values for bamboo during the leaf-shedding phenology stage, the PBTC method was applied to produce a seasonal composite enhanced vegetation index (EVI) for Landsat collections and assess the bamboo distributions in 2015 and 2018. Bamboo distributions in 2019 were then mapped by applying the EVI phenological threshold values for 10 m resolution Sentinel-2 satellite imagery by accessing 442 tiles. The overall Landsat 8 OLI bamboo maps for 2015 and 2018 had user’s accuracies (UAs) of 86.6% and 87.9% and producer’s accuracies (PAs) of 95.7% and 97.8%, respectively, and a UA of 86.5% and PA of 91.7% were obtained from Sentinel-2 imagery for 2019. Accordingly, carbon stocks of natural bamboo by district in Siem Reap at the province level were estimated. Emission reductions from the protection of natural bamboo can be used to offset 6% of the carbon emissions from tourists who visit this tourism-destination province. It is concluded that a combination of GEE and PBTC and the increasing availability of remote sensing data make it possible to map the natural distribution of bamboo and carbon stocks."
"Applications of the google earth engine and phenology-based threshold classification method for mapping forest cover and carbon stock changes in Siem Reap province, Cambodia","Chulalongkorn University, Chulalongkorn University, Ltd., Asian Institute of Technology, Western Sydney University, Lund University",2020,"© 2020 by the authors.Digital and scalable technologies are increasingly important for rapid and large-scale assessment and monitoring of land cover change. Until recently, little research has existed on how these technologies can be specifically applied to the monitoring of Reducing Emissions from Deforestation and Forest Degradation (REDD+) activities. Using the Google Earth Engine (GEE) cloud computing platform, we applied the recently developed phenology-based threshold classification method (PBTC) for detecting and mapping forest cover and carbon stock changes in Siem Reap province, Cambodia, between 1990 and 2018. The obtained PBTC maps were validated using Google Earth high resolution historical imagery and reference land cover maps by creating 3771 systematic 5 × 5 km spatial accuracy points. The overall cumulative accuracy of this study was 92.1% and its cumulative Kappa was 0.9, which are sufficiently high to apply the PBTC method to detect forest land cover change. Accordingly, we estimated the carbon stock changes over a 28-year period in accordance with the Good Practice Guidelines of the Intergovernmental Panel on Climate Change. We found that 322,694 ha of forest cover was lost in Siem Reap, representing an annual deforestation rate of 1.3% between 1990 and 2018. This loss of forest cover was responsible for carbon emissions of 143,729,440 MgCO2 over the same period. If REDD+ activities are implemented during the implementation period of the Paris Climate Agreement between 2020 and 2030, about 8,256,746 MgCO2 of carbon emissions could be reduced, equivalent to about USD 6-115 million annually depending on chosen carbon prices. Our case study demonstrates that the GEE and PBTC method can be used to detect and monitor forest cover change and carbon stock changes in the tropics with high accuracy."
Mixed-integer linear program for the operational harvest scheduling problem: An application to the thai sugar industry,Chulalongkorn University,2022,"© 2020 ACM.Thai sugar industry is relatively unique due to the existence of local restrictions and practices, such as grower equity and sugarcane farm burning. All of which are interrelated and stipulated by different conflicting objectives of different key supply chain actors. In order to address these issues, a mixed-integer linear programming model for this so-called Operational Harvest Scheduling Problem (OHSP) is formulated and solved under four different aspects: (i) maximizing sugarcane input, (ii) maximizing grower profits, (iii) minimizing industrial yield loss, and (iv) minimizing environmental impact. Our preliminary computational results on 30 fictitious instances indicated that, regardless of the chosen objectives, the resulting sugarcane input did not differ much, with the maximal gap around 10% across four settings. Nonetheless, the other three objective values differed greatly and depended on the harvesting resource selection. More specifically, green sugarcane harvesting was the best in terms of both carbon emission and grower interests, while burnt sugarcane harvesting was the best in terms of extractable sugar amount. We also found that the number of harvesting resources largely affected the quality of the OHSP solutions."
Incorporating biowaste into circular bioeconomy: A critical review of current trend and scaling up feasibility,"University of Malaya, Heilongjiang Institute of Technology, Harbin Institute of Technology, Ltd., University of Nottingham Malaysia, Khalifa University, Chulalongkorn University, University of Science",2022,"© 2020Valorisation of biowaste is a topic of closer scrutiny for its role in transition of fossil-based economy to bioeconomy. Increasing waste generation and climate change are among the issues that can be alleviated via biowaste valorisation. Various conversion methods have been consolidated as the most effective methods to valorise biowaste into value-added products such as biofuel, biochar and other biomaterials. Recognising the need to identify areas with higher demand for scientific effort, this review aims to provide a critical overview on current trend pertaining biowaste valorisation. The rheological limitations that hinder the upscaling feasibility of biowaste valorisation are provided and discussed. Survey of academic literature to showcase the recent efforts to alleviate technical constraints is also included. With critical approach, this review is expected to highlight the setbacks and avenues in biowaste valorisation field that are useful for future research. Specifically, process optimisation and development of new products with competitive edge from biowaste are the key avenues to close the loop of circular bioeconomy."
PM10 concentration forecast using modified depth-first search and supervised learning neural network,Chulalongkorn University,2020,"© 2018 Elsevier B.V.Atmospheric particulate matter (PM) is an important factor that influences the weather and climate changes which have an impact on life and Earth. In this study, we attempt to forecast PM10 (particulate matters with diameters that are less than or equal to 10 μm) concentration by using data from Nan Province of Thailand as a case study because the main agricultural occupation of Nan is corn growing and air pollution is always the major problem in this region, especially PM10 that is the result from burning corn fields after harvesting. In order to forecast PM10 concentration at each monitoring station 1 h ahead, a novel model based on a combination of genetic algorithm, multilayer perceptron neural network, and modified depth-first search algorithm is proposed. Experimental results show that the proposed model (in Fig. 6) performs better than other models when forecasting 1 h ahead."
Late Holocene hydroclimatic variation in central Asia and its response to mid-latitude Westerlies and solar irradiance,"Chinese Academy of Sciences, Chinese Academy of Sciences, Tianjin University, Chulalongkorn University, University of Chinese Academy of Sciences, Baoji University of Arts and Sciences, Zunyi Normal University, Xi'an Jiaotong University",2023,"© 2020 Elsevier LtdHydroclimatic variations in central Asia are widely recognized to be tele-connected with the North Atlantic climate via the mid-latitude Westerlies. However, the long-term hydroclimatic variation and its response to North Atlantic climate changes are not fully understood. Here we report multi-decadal and centennial hydroclimatic variations in central Asia during the late Holocene using high-resolution oxygen and carbon isotopes of bulk carbonate from a remote hydrologically closed alpine lake in Tianshan Mountains, northwestern China. The hydroclimatic variations inferred from the covariance between δ18Ocarb and δ13Ccarb and published multi-proxy in the Lake Sayram together agree well with the records from the central Asia, showing enhanced effective moisture at the intervals of 4000-3780, 3590-3210, 2800-2160, 1700-1370 and 890-280 cal yr BP during the negative phase of North Atlantic Oscillation (NAO). Comparison with European hydroclimatic changes on centennial scale, our records not only provide valuable insight into the hydroclimatic variations in central Asia, but also indicate all broadly contemporaneous changes with that of southern Europe whereas antiphase with that of northern Europe. We then conclude that the observed antiphase hydroclimatic pattern between northern Europe and southern Europe-central Asia on centennial time scale during the late Holocene were persistently controlled by the north-south migration of mid-latitude Westerlies and changes of NAO phase in response to solar irradiance forcing. However, further research is necessary to fully disentangle the natural and anthropogenic forcing mechanisms for enhanced effect moisture and/or precipitation in central Asia."
"Partitioning growing season water balance within a forested boreal catchment using sap flux, eddy covariance, and a process-based model","Swedish University of Agricultural Science, Natural Resources Institute Finland (Luke), Chulalongkorn University, Chulalongkorn University, Duke University, Swedish University of Agricultural Science",2022,"© 2020 Cambridge University Press. All rights reserved.Although it is well known that evapotranspiration (ET) represents an important water flux at local to global scales, few studies have quantified the magnitude and relative importance of ET and its individual flux components in high-latitude forests. In this study, we combined empirical sapflux, throughfall, and eddy-covariance measurements with estimates from a process-based model to partition the water balance in a northern boreal forested catchment. This study was conducted within the Krycklan catchment, which has a rich history of hydrological measurements, thereby providing us with the unique opportunity to compare the absolute and relative magnitudes of ET and its flux components to other water balance components. During the growing season, ET represented ca. 85% of the incoming precipitation. Both empirical results and model estimates suggested that tree transpiration (T) and evaporation of intercepted water from the tree canopy (IC) represented 43% and 31% of ET, respectively, and together were equal to ca. 70%of incoming precipitation during the growing season. Understory evapotranspiration (ETu) was less important than T and IC during most of the study period, except for late autumn, when ETu was the largest ET flux component. Overall, our study highlights the importance of trees in regulating the water cycle of boreal catchments, implying that forest management impacts on stand structure as well as climate change effects on tree growth are likely to have large cascading effects on the way water moves through these forested landscapes."
Factors affecting the consumption of energy-efficient lighting products: Exploring purchase behaviors of Thai consumers,"Chulalongkorn University, Chulalongkorn University",2023,"© 2020 by the authors.The continued usage of inefficient lighting products in residential sectors is one of the major causes of the rapid growth in global energy consumption. Their replacement with highly efficient lighting appliances could avoid large amounts of electricity consumption and reduce CO2 emissions worldwide. In this regard, the collective contribution by the residential sector is extremely important and the increase in demand for energy-efficient lighting products can help achieve sustainability goals. This study aims to examine the determinants of household consumers' behaviors in purchasing energy-saving lighting products by applying the Theory of Planned Behavior (TPB) as the main theoretical framework. Data (n = 288) from a survey in Thailand were analyzed using causal Structural Equation Modeling (SEM). The results suggested that attitude has the largest direct effect, while subjective norm was the weakest predictor of purchase intention towards light-emitting diode (LED) products. In addition, this study expands the TPB by including an investigation of a direct effect of attitude on purchase behavior. The results suggest that attitudes have a strong direct influence on the purchasing behavior for LED products. Additionally, only some socio-demographic variables have significant effects on purchase behavior. The study's findings highlight several implications for policymakers, the private sector, and green marketers in developing practical strategies. Furthermore, suggestions and future research directions are discussed."
Investigation on Solubility of Carbon Dioxide in the Mixed Aqueous Solution of MEA and 2-MAE,Chulalongkorn University,2021,"© Published under licence by IOP Publishing Ltd.Absorption with amine solution is a method to reduce CO2 causing climate change. The commercial amine solution is MEA. The disadvantage of MEA is low CO2-loading capacity. Also, 2-(methylamino)-ethanol or 2-MAE is a new solvent developed to improve absorption performance. The aim of this work is to measure the CO2 solubility in the mixture of MEA and 2-MAE at 15:15 %wt, from 30 °C to 80 °C and CO2 partial pressures ranging from 5 to 100 kPa. From the results, at the same conditions, 30 %wt of MEA has higher absorption capacity than that of 15:15 %wt of MEA:2-MAE and 30 %wt of 2-MAE for 4.51 % and 7.04 %, respectively. For cyclic capacity, 15:15 %wt of MEA:2-MAE has capacity greater than 30 %wt of MEA for 34.10 % but lower than 30 %wt of 2-MAE for 22.78 %. A mixed-amine solution can be applied to reduce the disadvantage of MEA solution."
Measurement of Mass Transfer Coefficient of CO2-Amine System from Absorption Process,"Chulalongkorn University, Chulalongkorn University",2021,"© Published under licence by IOP Publishing Ltd.Carbon dioxide (CO2) is one of the main factors for climate change issues. Absorption is the technology to remove CO2 from various industries. The equipment used is the packed column to promote high mass transfer rate and to study the overall mass transfer coefficient (KGav). The KGav is an important parameter for designing and scaling up of packed column. Therefore, the objective of this work is to measure KGav for CO2 absorption into the aqueous solution of monoethanolamine (MEA) in a random-packed column and to investigate effect of parameters on KGav. The parameters are the solvent flow rate from 5.3-15.9 m3/m2h, CO2 initial loading from 0.0-0.2 mole/mole and CO2 content in gas phase from 5-15 %v/v. The results show that KGav increases as the solvent flow rate and solvent concentration increase. The CO2 content in gas phase provides relatively high impact on KGav with an increase in the CO2 content."
"A new environmental performance index based on the carbon footprint, VOC emissions, and waste in a printing house",Chulalongkorn University,2022,"© 2020 The Authors. Engineering Reports published by John Wiley & Sons, Ltd.An environmental performance index (EPI) is introduced to evaluate the activities of a printing house based on three impacts: carbon footprint, volatile organic compound emissions, and waste. As the main causes of environmental degradation are the operation of machinery and usage of materials, we aimed to integrate the three impacts to interpret the EPI or the environmental friendliness of printing houses. Our results demonstrate that environmental awareness increased with improvements to the EPI, following the modification of printing processes and choices of printing materials. Various scenarios, including pre-press, press, and post-press, as well as printing materials, are proposed to predict trends and the possibility of increasing the EPI. Press management and materials and equipment changes have the greatest influence on the improvement of the EPI."
Long-Term Isotope Evidence on the Diet and Habitat Breadth of Pleistocene to Holocene Caprines in Thailand: Implications for the Extirpation and Conservation of Himalayan Gorals,"Chulalongkorn University, University of Tübingen, Université de Poitiers, Silpakorn University, Princess Maha Chakri Sirindhorn Anthropology Centre, University of Tübingen",2020,"© Copyright © 2020 Suraprasit, Jaeger, Shoocongdej, Chaimanee, Wattanapituksakul and Bocherens.Three taxa within the subfamily Caprinae (Himalayan goral Naemorhedus goral, Chinese goral Naemorhedus griseus, and Sumatran serow Capricornis sumatraensis) live in the mountainous upland forests of Southeast Asia, where they are considered as vulnerable or near threatened species. Co-occurrences between these two recognized genera have been documented from some Pleistocene fossil sites in Thailand, suggesting more widely overlapping distribution in the past than today. However, diet and habitat preferences of these Pleistocene and present-day coexisting species have rarely been investigated so far. For the past three decades, stable carbon and oxygen isotope analyses become more commonplace in ecological investigations, allowing us to explore the diets and habitats of ancient and extant animals as well as to reconstruct environmental conditions in the past. We reconstructed diets and habitats of these taxa from five fossil sites in Thailand during the past 400,000 years (from the Middle Pleistocene to the Early Holocene) and from some modern wildlife using the isotopic analysis of carbonate in tooth enamel, in order to test species co-occurrence patterns during the Pleistocene and to examine possible changes of their niche breadths over evolutionary time. Our carbon isotope analysis revealed remarkably different ecological patterns between Naemorhedus and Capricornis. The Pleistocene Sumatran serow has been a greater generalist than both the Himalayan and Chinese gorals that fed on pure C4 or mixed C3 and C4 plants restricted to an open landscape habitat and than its extant population that occupies a closed-canopy forest. This suggests that the habitat contraction of the modern wildlife is likely due to the Holocene climate change and the human impacts on Thai ecosystems. In addition to the loss or reduction of grasslands after the latest Pleistocene when rainforests became dominant and besides the human hunting and predation pressure, the high interspecific competition likely contributed to the extirpation of Himalayan gorals in Thailand. Developing a strategic plan for the future biodiversity conservation, a long-term historical isotope approach allowed us to predict the contrasting habitat suitability, a lowland grassland, for these two threatened goral species as testified by their ecological persistence during the Pleistocene."
"Investigating carbon dioxide absorption by urban trees in a new park of Bangkok, Thailand","Chulalongkorn University, Chulalongkorn University, Kasetsart University",2020,"© 2020 The Author(s).Background: Trees remove atmospheric carbon dioxide through photosynthesis, hereafter CO2 absorption (A). Despite growing urban green areas, only a few studies have quantified A of urban trees and assessed their dynamical changes with varying atmospheric conditions. Hence, we investigated A in nine dominant tree species in a new park of Bangkok. Results: Results revealed that A of two tree species (Millingtonia hortensis and Afzelia xylocarpa) significantly increased with vapor pressure deficit (VPD) until it reached a maximum and declined when VPD decreased, with no seasonal difference. Five of them (Dalbergia cochinchinensis, Tabebuia rosea, Lagerstroemia floribunda, Dipterocarpus alatus and Bauhinia purpurea) exhibited different response patterns of A to VPD between wet and dry seasons. In contrast, the A of two tree species (Samanea saman and Homalium tomentosum) did not respond to changing VPD in either season. Conclusions: Comparing planting scenarios of insensitive (i.e. no response to VPD) versus sensitive (i.e. significant response to VPD) species, we found that planting a mixture of sensitive and insensitive tree species would improve the park's capacity of A across seasons, allowing climate change adaptation to adverse environmental impacts such as droughts and the urban heat island effects, and would increase biodiversity. Additionally, planting insensitive tree species would significantly increase the capacity of the park for CO2 mitigation. These findings are useful for those who design parks and expand urban green areas to fully benefit ecosystem services from trees."
Fuel replacement: A possible option for Thailand energy security?,Institute Building III,2022,"© 2020 Institute of Physics Publishing. All rights reserved.Natural gas has been playing an important role in strengthening energy security of Thailand as over 60 percent of total natural gas consumed in the country is from the Gulf of Thailand. In the past 20 years, the average growth of natural gas demand is 5.5 percent per year. Thanks to its low carbon content, natural gas is considered as cleaner fuel comparing to other fossil-based fuels. Still, there are usages of carbon-intensive fuels such as fuel oil and coal in Thailand e.g. in the industrial sector. Most of fuel oil and coal consumed are imported from foreign countries. Replacing these fuels with natural gas may be an option for the country to promote domestic clean energy and reduce overall carbon emissions. This paper forecasts the possibility of replacing fuel oil and coal in the industrial sector with natural gas. The research starts with examining the limitations of Thai regulations, estimating the amount of natural gas required for the replacement, and forecasting future prices of all three fuels. The price projection shows an attractive option for fuel oil users as the long term price of natural gas is projected to be lower than that of fuel oil. On the contrary, the projected coal price alone will not encourage coal users to switch their fuels. Thus, strong government measures will be required to stimulate coal replacement. The result of the study will be useful for determining appropriate policies to support long-term demand for natural gas of the country."
EMBODIED CARBON EMISSIONS OF CONSTRUCTION MATERIALS: A CASE STUDY OF BUILDINGS IN THAILAND,"Graduate School, Chulalongkorn University, Research Unit of Environmental Management and Sustainable, Chulalongkorn University, National Science and Technology Development, Thammasat University, Chulalongkorn University, Center of Excellence on Hazardous Substance Management (HSM)",2021,"© 2020 Int. J. of GEOMATE. All Rights Reserved.With respect to moving towards development without threat to our future generations, the overwhelming unsustainable consumption of natural resources is the dominant energy and environmental concerns discussed in both international and national conferences. In particular, to find potential solutions to minimize environmental impacts, the building sector should priorly be considered since it is responsible for almost forty percent of both global energy and materials consumption and contributes around one-third of the global greenhouse gases emission. This research, therefore, aimed at evaluating the level of embodied carbon emissions derived from building construction materials, using four buildings located in an educational institute as a case study to represent the environmental performance of construction materials based on reinforce concrete structure in a tropical climate. The results revealed that on weighted average, the mass intensity and embodied carbon intensity of construction materials were 1,627 kg/m2 and 322 kgCO2/m2. In addition, the taller the building height the more likely it was to help improve such intensities. Almost 90% and 69% of the mass intensity and embodied carbon intensity derived from structural component materials whereas 24% of the embodied carbon emissions attributed to decorating component materials. The results also indicated that improvement in building with reinforce concrete structure could focus only on six materials namely concrete, steel, aluminium, cement, paint, and ceramic tile since these materials contributed 94% of embodied carbon emission. The findings will be useful for planning proactive strategies in mitigating embodied carbon in building to cope with the challenges of global warming in the future."
The potential of industrial waste: using foundry sand with fly ash and electric arc furnace slag for geopolymer brick production,"Chulalongkorn University, Chulalongkorn University, Center of Excellence on Hazardous Substance Management, Chulalongkorn University, MTEC",2021,"© 2020 The Author(s)Civil engineering; Materials science; Environmental science; Environmental impact assessment; Environmental management; Geopolymer brick; Waste foundry sand; Fly ash; Electric arc furnace slag; Leaching of heavy metals; Life cycle assessment; Economic feasibility© 2020 The Author(s)The purpose of this study was to investigate the best ratio of waste foundry sand (WFS), fly ash (FA), and electric arc furnace slag (EAF slag) for the production of geopolymer bricks. In this research study, WFS, FA, and EAF slag were mixed at the ratio of 70:30:0, 60:30:10, 50:30:20, and 40:30:30 with 8M sodium hydroxide (NaOH) and 98% purity sodium silicate (Na2SiO3) with a ratio of Na2SiO3/8M NaOH = 2.5. The mixtures were compacted in 5 cm × 5 cm x 5 cm molds and cured at an ambient temperature for 28 days. Then, their compressive strength was analyzed. The results showed that the geopolymer bricks with the highest compressive strength were those mixed at the 40:30:30 ratio, with a compressive strength of 25.76 MPa. The strongest bricks were also analyzed using the leaching test to ensure the production involved non-hazardous materials. To compare the environmental impacts of geopolymer bricks and concrete bricks, their effects on climate change, ozone depletion, terrestrial acidification, human toxicity, terrestrial ecotoxicity, and fossil fuel depletion were examined from cradle to grave using SimaPro 8.0.5.13 software. The results of the life cycle assessment (LCA) from cradle to grave showed that the environmental impact of geopolymer brick production was lower in every aspect than that of concrete production. Therefore, geopolymer brick production can reduce environmental impact and can be a value-added use for industrial waste."
Building Resilience to Climate Change in Informal Settlements,"International Institute for Environment and Development and University College London Development Planning Unit, Chulalongkorn University, World Resources Institute, International Institute for Environment and Development, IIED-América Latina, University of Manchester and International Institute for Environment and Development, Society for the Promotion of Area Resource Centres India and Shack/Slum Dwellers International",2022,"© 2020 The AuthorsApproximately 1 billion people currently live in informal settlements, primarily in urban areas in low- and middle-income countries. Informal settlements are defined by poor-quality houses or shacks built outside formal laws and regulations. Most informal settlements lack piped water or adequate provision for sanitation, drainage, and public services. Many are on dangerous sites because their inhabitants have a higher chance of avoiding eviction. This paper considers how to build resilience to the impacts of climate change in informal settlements. It focuses on informal settlements in cities in low- and middle-income countries and how these concentrate at-risk populations. This paper also reviews what is being done to address climate resilience in informal settlements. In particular, community- and city-government-led measures to upgrade settlements can enhance resilience to climate-change risks and serve vulnerable groups. It also discusses how the barriers to greater scale and effectiveness can be overcome, including with synergies with the Sustainable Development Goals."
"Process and sustainability analyses of the integrated biomass pyrolysis, gasification, and methanol synthesis process for methanol production","King Mongkut's Institute of Technology Ladkrabang, Chulalongkorn University",2020,"© 2019 Elsevier LtdTechnical and sustainability analyses of the methanol production via the integrated biomass pyrolysis, gasification, and methanol synthesis (IBPGM) process using rice straw as feedstock, are performed. The utilization of emitted CO2 by recycling to a gasifier as a gasifying agent is investigated for technical and environmental reasons. The effects of CO2 recirculation on the product distribution and energy consumption of the IBPGM process are examined. The production rate of methanol is improved with the increased CO2 recycle fraction, while that of bio-oil does not change. The IBPGM is a highly exothermic process, with the largest energy-releasing unit being the methanol reactor. The energy consumption at the gasifier exhibits the same trend and thermal self-sufficiency is consequently achieved when the recycle fraction is raised to 0.76. Environmental assessment using a life cycle analysis tool reveals that the energy management of methanol synthesis unit and syngas processor needs to be improved as they highly contribute toward the carbon footprint and potential environmental impact. The technical and environmental factors of the IBPGM process are evaluated by the analysis hierarchy process, calculated by a multi-criteria decision analysis method. The IBPGM process with the CO2 recycle fraction of 0.2 offers the best performance. Under this condition, the methanol and bio-oil production rates of 0.23 and 0.09 kmol h−1, respectively, and the energy efficiency of 60.7% can be achieved, based on the biomass feed rate of 1 kmol h−1."
Dynamic model and control system of carbon dioxide capture process in fluidized bed using computational fluid dynamics,"Chulalongkorn University, Chulalongkorn University",2021,"© 2019Nowadays, the concentration of greenhouse gases in the atmosphere has been growing continuously due to the increase of energy consumption, generated from carbon-based fuels and has created global warming. In this study, a model of carbon dioxide capture adsorption in a fluidized bed reactor was developed based on experimental data using commercial CFD program called ANSYS FLUENT. Then the model was employed to observe the hydrodynamics behavior and the dynamic responses of CO2 capture inside the adsorber when the operating variables were changed. The effects of operating variables on carbon dioxide capture were evaluated. From the simulation results, both the inlet gas velocity and the inlet solid circulation rate affected the carbon dioxide capture. The relationships between inlet gas velocity and inlet solid circulation rate to the percentage of carbon dioxide capture were investigated and analyzed by using system identification toolbox in MATLAB. After that, these relationships were used to design a control system. For the considered control system, the inlet solid circulation rate was selected to be a manipulated variable, while the inlet gas velocity, composition and temperature were designated as system disturbances. The controlled variable was carbon dioxide content remaining in the flue gas at the outlet. It was found that the control system could maintain the concentration of carbon dioxide in the flue gas at a specified value."
Development of computational fluid dynamics model for two initial CO2 concentration in circulating fluidized bed reactor,"Chulalongkorn University, Chulalongkorn University",2021,"© 2019Nowadays, the global warming is considered as a world problem because it influences the environment by increasing the average temperature of earth surface. One of the greenhouse gases that release from human activities and fossil fuels combustion in industry is CO2. Several technologies are applied to reduce the CO2 emission to atmosphere. In this study, the aim is to capture the CO2 by solid sorbent adsorption with potassium carbonate supported on gamma alumina using full loop circulating fluidized bed reactor in commercial computational fluid dynamics program, ANSYS FLUENT. This study focuses on the effect of initial CO2 concentrations from cement industry and power plant on CO2 removal efficiency. Besides, the solid volume fraction profile is also considered. The simulation results showed the hydrodynamics in circulating fluidized bed reactor that the solid sorbent was high at the reactor wall and low at the reactor center. In addition, the independent input variables were investigated which were percentage of K2CO3 loading on sorbent and gas velocity. The increasing of K2CO3 loading on sorbent and the decreasing of gas velocity increased the CO2 capture efficiency."
An LMDI decomposition analysis of carbon emissions in the Thai manufacturing sector,"King Mongkut's University of Technology Thonburi, Chulalongkorn University, Iron and Steel Institute of Thailand",2020,"© 2019During the last two decades CO2 emissions increased rapidly along with the growth of production and energy use in the industrial sector in Thailand. We use the Logarithmic Mean Divisia Index (LMDI) method to decompose the source of changes of CO2 emission level and CO2 emission intensity of the sector for the period 2005–2017. The results show that during this period, on average the amount of CO2 emissions and the CO2 emission intensity increased annually. The structural change effect helped reduce both the amount of CO2 emissions and the emission intensity. However, the increased energy intensity of individual industries led to an increase in the amount of CO2 emission and CO2 emission intensity. The study thus calls for policies to reduce energy intensity of firms in the manufacturing sectors in order for Thailand to benefit from industrial growth without having to incur greater polluting emissions."
Establishing an ocean acidification monitoring system for the tropical waters of Indonesia facing regional climate variability,"Indonesian Institute of Sciences (LIPI), Chulalongkorn University",2022,"© The Author(s) 2020. This article is distributed under a Creative Commons Attribution-ShareAlike 4.0 International license.The emission of greenhouse gases, including high CO2 and other materials, initiates global warming and climate change. Atmospheric CO2 that affects the carbonate system of seawater causes ocean acidification (OA). OA affects marine organisms directly, as well as humans economically and ecologically. Considering the high impact of OA and following the United Nations' Sustainable Development Goals, systematic research and monitoring of OA is necessary in Indonesia, whose seas play an important role in this emerging phenomenon. This review discusses the urgency of OA monitoring systems and suggests carbonate system monitoring, as well as carbon biogeochemistry. OA significantly affects marine production and alters ecosystem services, and it is likely to have an impact on habitats shifting from calcified to non-calcified and reducing benthic complexity. Its effect on calcifying organisms can also be found, i.e., coral calcification and/or dissolution of CaCO3 of calcifying organisms. Acidity (pH), as well as the carbonate system variables of seawater, fluctuate, especially with variations in space and time. Coastal ecosystems that are directly affected by terrestrial input will have carbonate system variables that fluctuate more. The annual rate of decreasing seawater pH, especially over an open and large spatial scale, may indicate OA. Therefore, a monitoring system must be implemented to obtain systematic and comprehensive information on OA. Here, we also introduce a biogeochemical monitoring initiative for OA in Lombok with the established protocols. Improvement of many aspects, including analysis instruments, analysis methods, sample treatment, and sampling frequency will provide new insight into further research and monitoring of OA."
