Organizations,Processed_Abstracts
"Henan Agricultural University, Henan University of Technology, University of Zakho, Urmia University of Technology, University of Bonab, Chulalongkorn University",2020 elsevier ltdamong different renewable energies sun endless source energy focus many researchers worldwide use solar radiation energy conventional power generation systems play important role reducing fuel consumption environmental pollution importance energy increased need supply load demand especially desertlike places main objective research propose new optimal hybrid solardieselbattery system cover demand load rural part gobi desert china main objectives optimization loss load probability co2 emissions value annualized cost system εconstraint method adopted simplify multiobjective problem single objective problem optimization problem performed developed version elephant herd optimization algorithm system sensitivity analysis analyzed parameters simulation results show proposed method provide reliable supplement load demand pv penetration prominent impact 979 costs results also present emitted co2 gas proposed ceho algorithm 1735 kgyear minimum value compared psobased optimal system homer software results initial capital cost system also achieved 48680 specifies less value net present cost
"Chulalongkorn University, Chulalongkorn University, Mahidol University, King Mongkut's University of Technology Thonburi",2020 authorsamine based co2 capture considered one effective technologies mitigating global warming climate change problems key technology use highly effective solvent present work novel formulated mpdlamp solvent firstly introduced essential data determining investigating solvent performance alternative solvent capturing co2 yet reported therefore density viscosity physical co2 diffusivity novel formulated mpdlamp solvent determined work ranges concentrations temperatures 25wt mpdl5wt amp 15wt mpdl15wt amp 313 k 333 k respectively physical data reported present work important determining optimum hydrodynamics fluid flow inside absorption column well designing height column kinetics mass transfer data results observed present work showed novel formulated mpdlamp solvent investigated potential used alternative solvent capturing co2
"Chulalongkorn University, Chulalongkorn University, Ltd, Los Baños, Western Sydney University, Lund University, Asian Institute of Technology",2020 authors licensee mdpi basel switzerlandalthough vegetation phenology thresholds developed wide range mapping applications use assessing distribution natural bamboo related carbon stocks still limited especially southeast asia used google earth engine gee collect timeseries landsat 8 operational land imager oli sentinel2 images employed phenologybased threshold classification method pbtc map natural bamboo distribution estimate carbon stocks siem reap province cambodia processed 337 collections landsat 8 oli phenological assessment generated 121 phenological profiles average vegetation index three vegetation land cover categories 2015 2018 determining minimum maximum threshold values bamboo leafshedding phenology stage pbtc method applied produce seasonal composite enhanced vegetation index evi landsat collections assess bamboo distributions 2015 2018 bamboo distributions 2019 mapped applying evi phenological threshold values 10 m resolution sentinel2 satellite imagery accessing 442 tiles overall landsat 8 oli bamboo maps 2015 2018 user’s accuracies uas 866 879 producer’s accuracies pas 957 978 respectively ua 865 pa 917 obtained sentinel2 imagery 2019 accordingly carbon stocks natural bamboo district siem reap province level estimated emission reductions protection natural bamboo used offset 6 carbon emissions tourists visit tourismdestination province concluded combination gee pbtc increasing availability remote sensing data make possible map natural distribution bamboo carbon stocks
"Chulalongkorn University, Chulalongkorn University, Ltd., Asian Institute of Technology, Western Sydney University, Lund University",2020 authorsdigital scalable technologies increasingly important rapid largescale assessment monitoring land cover change recently little research existed technologies specifically applied monitoring reducing emissions deforestation forest degradation redd activities using google earth engine gee cloud computing platform applied recently developed phenologybased threshold classification method pbtc detecting mapping forest cover carbon stock changes siem reap province cambodia 1990 2018 obtained pbtc maps validated using google earth high resolution historical imagery reference land cover maps creating 3771 systematic 5 × 5 km spatial accuracy points overall cumulative accuracy study 921 cumulative kappa 09 sufficiently high apply pbtc method detect forest land cover change accordingly estimated carbon stock changes 28year period accordance good practice guidelines intergovernmental panel climate change found 322694 ha forest cover lost siem reap representing annual deforestation rate 13 1990 2018 loss forest cover responsible carbon emissions 143729440 mgco2 period redd activities implemented implementation period paris climate agreement 2020 2030 8256746 mgco2 carbon emissions reduced equivalent usd 6115 million annually depending chosen carbon prices case study demonstrates gee pbtc method used detect monitor forest cover change carbon stock changes tropics high accuracy
Chulalongkorn University,2020 acmthai sugar industry relatively unique due existence local restrictions practices grower equity sugarcane farm burning interrelated stipulated different conflicting objectives different key supply chain actors order address issues mixedinteger linear programming model socalled operational harvest scheduling problem ohsp formulated solved four different aspects maximizing sugarcane input ii maximizing grower profits iii minimizing industrial yield loss iv minimizing environmental impact preliminary computational results 30 fictitious instances indicated regardless chosen objectives resulting sugarcane input differ much maximal gap around 10 across four settings nonetheless three objective values differed greatly depended harvesting resource selection specifically green sugarcane harvesting best terms carbon emission grower interests burnt sugarcane harvesting best terms extractable sugar amount also found number harvesting resources largely affected quality ohsp solutions
"University of Malaya, Heilongjiang Institute of Technology, Harbin Institute of Technology, Ltd., University of Nottingham Malaysia, Khalifa University, Chulalongkorn University, University of Science",2020valorisation biowaste topic closer scrutiny role transition fossilbased economy bioeconomy increasing waste generation climate change among issues alleviated via biowaste valorisation various conversion methods consolidated effective methods valorise biowaste valueadded products biofuel biochar biomaterials recognising need identify areas higher demand scientific effort review aims provide critical overview current trend pertaining biowaste valorisation rheological limitations hinder upscaling feasibility biowaste valorisation provided discussed survey academic literature showcase recent efforts alleviate technical constraints also included critical approach review expected highlight setbacks avenues biowaste valorisation field useful future research specifically process optimisation development new products competitive edge biowaste key avenues close loop circular bioeconomy
Chulalongkorn University,2018 elsevier bvatmospheric particulate matter pm important factor influences weather climate changes impact life earth study attempt forecast pm10 particulate matters diameters less equal 10 μm concentration using data nan province thailand case study main agricultural occupation nan corn growing air pollution always major problem region especially pm10 result burning corn fields harvesting order forecast pm10 concentration monitoring station 1 h ahead novel model based combination genetic algorithm multilayer perceptron neural network modified depthfirst search algorithm proposed experimental results show proposed model fig 6 performs better models forecasting 1 h ahead
"Chinese Academy of Sciences, Chinese Academy of Sciences, Tianjin University, Chulalongkorn University, University of Chinese Academy of Sciences, Baoji University of Arts and Sciences, Zunyi Normal University, Xi'an Jiaotong University",2020 elsevier ltdhydroclimatic variations central asia widely recognized teleconnected north atlantic climate via midlatitude westerlies however longterm hydroclimatic variation response north atlantic climate changes fully understood report multidecadal centennial hydroclimatic variations central asia late holocene using highresolution oxygen carbon isotopes bulk carbonate remote hydrologically closed alpine lake tianshan mountains northwestern china hydroclimatic variations inferred covariance δ18ocarb δ13ccarb published multiproxy lake sayram together agree well records central asia showing enhanced effective moisture intervals 40003780 35903210 28002160 17001370 890280 cal yr bp negative phase north atlantic oscillation nao comparison european hydroclimatic changes centennial scale records provide valuable insight hydroclimatic variations central asia also indicate broadly contemporaneous changes southern europe whereas antiphase northern europe conclude observed antiphase hydroclimatic pattern northern europe southern europecentral asia centennial time scale late holocene persistently controlled northsouth migration midlatitude westerlies changes nao phase response solar irradiance forcing however research necessary fully disentangle natural anthropogenic forcing mechanisms enhanced effect moisture andor precipitation central asia
"Swedish University of Agricultural Science, Natural Resources Institute Finland (Luke), Chulalongkorn University, Chulalongkorn University, Duke University, Swedish University of Agricultural Science",2020 cambridge university press rights reservedalthough well known evapotranspiration et represents important water flux local global scales studies quantified magnitude relative importance et individual flux components highlatitude forests study combined empirical sapflux throughfall eddycovariance measurements estimates processbased model partition water balance northern boreal forested catchment study conducted within krycklan catchment rich history hydrological measurements thereby providing us unique opportunity compare absolute relative magnitudes et flux components water balance components growing season et represented ca 85 incoming precipitation empirical results model estimates suggested tree transpiration t evaporation intercepted water tree canopy ic represented 43 31 et respectively together equal ca 70of incoming precipitation growing season understory evapotranspiration etu less important t ic study period except late autumn etu largest et flux component overall study highlights importance trees regulating water cycle boreal catchments implying forest management impacts stand structure well climate change effects tree growth likely large cascading effects way water moves forested landscapes
"Chulalongkorn University, Chulalongkorn University",2020 authorsthe continued usage inefficient lighting products residential sectors one major causes rapid growth global energy consumption replacement highly efficient lighting appliances avoid large amounts electricity consumption reduce co2 emissions worldwide regard collective contribution residential sector extremely important increase demand energyefficient lighting products help achieve sustainability goals study aims examine determinants household consumers behaviors purchasing energysaving lighting products applying theory planned behavior tpb main theoretical framework data n 288 survey thailand analyzed using causal structural equation modeling sem results suggested attitude largest direct effect subjective norm weakest predictor purchase intention towards lightemitting diode led products addition study expands tpb including investigation direct effect attitude purchase behavior results suggest attitudes strong direct influence purchasing behavior led products additionally sociodemographic variables significant effects purchase behavior studys findings highlight several implications policymakers private sector green marketers developing practical strategies furthermore suggestions future research directions discussed
Chulalongkorn University,published licence iop publishing ltdabsorption amine solution method reduce co2 causing climate change commercial amine solution mea disadvantage mea low co2loading capacity also 2methylaminoethanol 2mae new solvent developed improve absorption performance aim work measure co2 solubility mixture mea 2mae 1515 wt 30 °c 80 °c co2 partial pressures ranging 5 100 kpa results conditions 30 wt mea higher absorption capacity 1515 wt mea2mae 30 wt 2mae 451 704 respectively cyclic capacity 1515 wt mea2mae capacity greater 30 wt mea 3410 lower 30 wt 2mae 2278 mixedamine solution applied reduce disadvantage mea solution
"Chulalongkorn University, Chulalongkorn University",published licence iop publishing ltdcarbon dioxide co2 one main factors climate change issues absorption technology remove co2 various industries equipment used packed column promote high mass transfer rate study overall mass transfer coefficient kgav kgav important parameter designing scaling packed column therefore objective work measure kgav co2 absorption aqueous solution monoethanolamine mea randompacked column investigate effect parameters kgav parameters solvent flow rate 53159 m3m2h co2 initial loading 0002 molemole co2 content gas phase 515 vv results show kgav increases solvent flow rate solvent concentration increase co2 content gas phase provides relatively high impact kgav increase co2 content
Chulalongkorn University,2020 authors engineering reports published john wiley sons ltdan environmental performance index epi introduced evaluate activities printing house based three impacts carbon footprint volatile organic compound emissions waste main causes environmental degradation operation machinery usage materials aimed integrate three impacts interpret epi environmental friendliness printing houses results demonstrate environmental awareness increased improvements epi following modification printing processes choices printing materials various scenarios including prepress press postpress well printing materials proposed predict trends possibility increasing epi press management materials equipment changes greatest influence improvement epi
"Chulalongkorn University, University of Tübingen, Université de Poitiers, Silpakorn University, Princess Maha Chakri Sirindhorn Anthropology Centre, University of Tübingen",2020 suraprasit jaeger shoocongdej chaimanee wattanapituksakul bocherensthree taxa within subfamily caprinae himalayan goral naemorhedus goral chinese goral naemorhedus griseus sumatran serow capricornis sumatraensis live mountainous upland forests southeast asia considered vulnerable near threatened species cooccurrences two recognized genera documented pleistocene fossil sites thailand suggesting widely overlapping distribution past today however diet habitat preferences pleistocene presentday coexisting species rarely investigated far past three decades stable carbon oxygen isotope analyses become commonplace ecological investigations allowing us explore diets habitats ancient extant animals well reconstruct environmental conditions past reconstructed diets habitats taxa five fossil sites thailand past 400000 years middle pleistocene early holocene modern wildlife using isotopic analysis carbonate tooth enamel order test species cooccurrence patterns pleistocene examine possible changes niche breadths evolutionary time carbon isotope analysis revealed remarkably different ecological patterns naemorhedus capricornis pleistocene sumatran serow greater generalist himalayan chinese gorals fed pure c4 mixed c3 c4 plants restricted open landscape habitat extant population occupies closedcanopy forest suggests habitat contraction modern wildlife likely due holocene climate change human impacts thai ecosystems addition loss reduction grasslands latest pleistocene rainforests became dominant besides human hunting predation pressure high interspecific competition likely contributed extirpation himalayan gorals thailand developing strategic plan future biodiversity conservation longterm historical isotope approach allowed us predict contrasting habitat suitability lowland grassland two threatened goral species testified ecological persistence pleistocene
"Chulalongkorn University, Chulalongkorn University, Kasetsart University",2020 authorsbackground trees remove atmospheric carbon dioxide photosynthesis hereafter co2 absorption despite growing urban green areas studies quantified urban trees assessed dynamical changes varying atmospheric conditions hence investigated nine dominant tree species new park bangkok results results revealed two tree species millingtonia hortensis afzelia xylocarpa significantly increased vapor pressure deficit vpd reached maximum declined vpd decreased seasonal difference five dalbergia cochinchinensis tabebuia rosea lagerstroemia floribunda dipterocarpus alatus bauhinia purpurea exhibited different response patterns vpd wet dry seasons contrast two tree species samanea saman homalium tomentosum respond changing vpd either season conclusions comparing planting scenarios insensitive ie response vpd versus sensitive ie significant response vpd species found planting mixture sensitive insensitive tree species improve parks capacity across seasons allowing climate change adaptation adverse environmental impacts droughts urban heat island effects increase biodiversity additionally planting insensitive tree species significantly increase capacity park co2 mitigation findings useful design parks expand urban green areas fully benefit ecosystem services trees
Institute Building III,2020 institute physics publishing rights reservednatural gas playing important role strengthening energy security thailand 60 percent total natural gas consumed country gulf thailand past 20 years average growth natural gas demand 55 percent per year thanks low carbon content natural gas considered cleaner fuel comparing fossilbased fuels still usages carbonintensive fuels fuel oil coal thailand eg industrial sector fuel oil coal consumed imported foreign countries replacing fuels natural gas may option country promote domestic clean energy reduce overall carbon emissions paper forecasts possibility replacing fuel oil coal industrial sector natural gas research starts examining limitations thai regulations estimating amount natural gas required replacement forecasting future prices three fuels price projection shows attractive option fuel oil users long term price natural gas projected lower fuel oil contrary projected coal price alone will encourage coal users switch fuels thus strong government measures will required stimulate coal replacement result study will useful determining appropriate policies support longterm demand natural gas country
"Graduate School, Chulalongkorn University, Research Unit of Environmental Management and Sustainable, Chulalongkorn University, National Science and Technology Development, Thammasat University, Chulalongkorn University, Center of Excellence on Hazardous Substance Management (HSM)",2020 int j geomate rights reservedwith respect moving towards development without threat future generations overwhelming unsustainable consumption natural resources dominant energy environmental concerns discussed international national conferences particular find potential solutions minimize environmental impacts building sector priorly considered since responsible almost forty percent global energy materials consumption contributes around onethird global greenhouse gases emission research therefore aimed evaluating level embodied carbon emissions derived building construction materials using four buildings located educational institute case study represent environmental performance construction materials based reinforce concrete structure tropical climate results revealed weighted average mass intensity embodied carbon intensity construction materials 1627 kgm2 322 kgco2m2 addition taller building height likely help improve intensities almost 90 69 mass intensity embodied carbon intensity derived structural component materials whereas 24 embodied carbon emissions attributed decorating component materials results also indicated improvement building reinforce concrete structure focus six materials namely concrete steel aluminium cement paint ceramic tile since materials contributed 94 embodied carbon emission findings will useful planning proactive strategies mitigating embodied carbon building cope challenges global warming future
"Chulalongkorn University, Chulalongkorn University, Center of Excellence on Hazardous Substance Management, Chulalongkorn University, MTEC",2020 authorscivil engineering materials science environmental science environmental impact assessment environmental management geopolymer brick waste foundry sand fly ash electric arc furnace slag leaching heavy metals life cycle assessment economic feasibility© 2020 authorsthe purpose study investigate best ratio waste foundry sand wfs fly ash fa electric arc furnace slag eaf slag production geopolymer bricks research study wfs fa eaf slag mixed ratio 70300 603010 503020 403030 8m sodium hydroxide naoh 98 purity sodium silicate na2sio3 ratio na2sio38m naoh 25 mixtures compacted 5 cm × 5 cm x 5 cm molds cured ambient temperature 28 days compressive strength analyzed results showed geopolymer bricks highest compressive strength mixed 403030 ratio compressive strength 2576 mpa strongest bricks also analyzed using leaching test ensure production involved nonhazardous materials compare environmental impacts geopolymer bricks concrete bricks effects climate change ozone depletion terrestrial acidification human toxicity terrestrial ecotoxicity fossil fuel depletion examined cradle grave using simapro 80513 software results life cycle assessment lca cradle grave showed environmental impact geopolymer brick production lower every aspect concrete production therefore geopolymer brick production reduce environmental impact valueadded use industrial waste
"International Institute for Environment and Development and University College London Development Planning Unit, Chulalongkorn University, World Resources Institute, International Institute for Environment and Development, IIED-América Latina, University of Manchester and International Institute for Environment and Development, Society for the Promotion of Area Resource Centres India and Shack/Slum Dwellers International",2020 authorsapproximately 1 billion people currently live informal settlements primarily urban areas low middleincome countries informal settlements defined poorquality houses shacks built outside formal laws regulations informal settlements lack piped water adequate provision sanitation drainage public services many dangerous sites inhabitants higher chance avoiding eviction paper considers build resilience impacts climate change informal settlements focuses informal settlements cities low middleincome countries concentrate atrisk populations paper also reviews done address climate resilience informal settlements particular community citygovernmentled measures upgrade settlements enhance resilience climatechange risks serve vulnerable groups also discusses barriers greater scale effectiveness overcome including synergies sustainable development goals
"King Mongkut's Institute of Technology Ladkrabang, Chulalongkorn University",2019 elsevier ltdtechnical sustainability analyses methanol production via integrated biomass pyrolysis gasification methanol synthesis ibpgm process using rice straw feedstock performed utilization emitted co2 recycling gasifier gasifying agent investigated technical environmental reasons effects co2 recirculation product distribution energy consumption ibpgm process examined production rate methanol improved increased co2 recycle fraction biooil change ibpgm highly exothermic process largest energyreleasing unit methanol reactor energy consumption gasifier exhibits trend thermal selfsufficiency consequently achieved recycle fraction raised 076 environmental assessment using life cycle analysis tool reveals energy management methanol synthesis unit syngas processor needs improved highly contribute toward carbon footprint potential environmental impact technical environmental factors ibpgm process evaluated analysis hierarchy process calculated multicriteria decision analysis method ibpgm process co2 recycle fraction 02 offers best performance condition methanol biooil production rates 023 009 kmol h−1 respectively energy efficiency 607 achieved based biomass feed rate 1 kmol h−1
"Chulalongkorn University, Chulalongkorn University",2019nowadays concentration greenhouse gases atmosphere growing continuously due increase energy consumption generated carbonbased fuels created global warming study model carbon dioxide capture adsorption fluidized bed reactor developed based experimental data using commercial cfd program called ansys fluent model employed observe hydrodynamics behavior dynamic responses co2 capture inside adsorber operating variables changed effects operating variables carbon dioxide capture evaluated simulation results inlet gas velocity inlet solid circulation rate affected carbon dioxide capture relationships inlet gas velocity inlet solid circulation rate percentage carbon dioxide capture investigated analyzed using system identification toolbox matlab relationships used design control system considered control system inlet solid circulation rate selected manipulated variable inlet gas velocity composition temperature designated system disturbances controlled variable carbon dioxide content remaining flue gas outlet found control system maintain concentration carbon dioxide flue gas specified value
"Chulalongkorn University, Chulalongkorn University",2019nowadays global warming considered world problem influences environment increasing average temperature earth surface one greenhouse gases release human activities fossil fuels combustion industry co2 several technologies applied reduce co2 emission atmosphere study aim capture co2 solid sorbent adsorption potassium carbonate supported gamma alumina using full loop circulating fluidized bed reactor commercial computational fluid dynamics program ansys fluent study focuses effect initial co2 concentrations cement industry power plant co2 removal efficiency besides solid volume fraction profile also considered simulation results showed hydrodynamics circulating fluidized bed reactor solid sorbent high reactor wall low reactor center addition independent input variables investigated percentage k2co3 loading sorbent gas velocity increasing k2co3 loading sorbent decreasing gas velocity increased co2 capture efficiency
"King Mongkut's University of Technology Thonburi, Chulalongkorn University, Iron and Steel Institute of Thailand",2019during last two decades co2 emissions increased rapidly along growth production energy use industrial sector thailand use logarithmic mean divisia index lmdi method decompose source changes co2 emission level co2 emission intensity sector period 2005–2017 results show period average amount co2 emissions co2 emission intensity increased annually structural change effect helped reduce amount co2 emissions emission intensity however increased energy intensity individual industries led increase amount co2 emission co2 emission intensity study thus calls policies reduce energy intensity firms manufacturing sectors order thailand benefit industrial growth without incur greater polluting emissions
"Indonesian Institute of Sciences (LIPI), Chulalongkorn University",authors 2020 article distributed creative commons attributionsharealike 40 international licensethe emission greenhouse gases including high co2 materials initiates global warming climate change atmospheric co2 affects carbonate system seawater causes ocean acidification oa oa affects marine organisms directly well humans economically ecologically considering high impact oa following united nations sustainable development goals systematic research monitoring oa necessary indonesia whose seas play important role emerging phenomenon review discusses urgency oa monitoring systems suggests carbonate system monitoring well carbon biogeochemistry oa significantly affects marine production alters ecosystem services likely impact habitats shifting calcified noncalcified reducing benthic complexity effect calcifying organisms also found ie coral calcification andor dissolution caco3 calcifying organisms acidity ph well carbonate system variables seawater fluctuate especially variations space time coastal ecosystems directly affected terrestrial input will carbonate system variables fluctuate annual rate decreasing seawater ph especially open large spatial scale may indicate oa therefore monitoring system must implemented obtain systematic comprehensive information oa also introduce biogeochemical monitoring initiative oa lombok established protocols improvement many aspects including analysis instruments analysis methods sample treatment sampling frequency will provide new insight research monitoring oa
"Mien Trung University of Civil Engineering, Chulalongkorn University, Chulalongkorn University, Kasetsart University",2020 ice publishing rights reservedthe effects climate change including intense rainfalls resulted many slope failures bioengineering method using vegetation environmentally friendly alternative slope stabilisation paper presents effect root reinforcement stability vegetated slope rainfall condition transient seepage slope stability analysis conducted based finiteelement limit equilibrium methods field monitoring residual soil slope thailand numerically modelled transient seepage analysis soilwater characteristic curve saturated permeability measured laboratory situ tests used results comparable monitored values site slope stability analysis effective shear strength parameters direct shear tests used model wellcompacted noncompacted soil slopes additional shear strength soil root cohesion modelled vegetated soil slope results show contribution root cohesion slope stability significant noncompacted soil condition wellcompacted one modelled monitored porewater pressure reached highest values 1d daily rainfall reached peak finding significant implication landslide warning based rainfall
Chulalongkorn University,2020 econjournals rights reservedthis research aimed analyze relationship causal factors forecast co2 emissions 15 years period 2020 2034 applying nonrecursive autoregression vector autoregression exogeneous model nonrecursive varx model nonrecursive varx model made available use longterm forecasting 20202034 particularly regards implementation ‘industry 40’ policy thai government study found results thai government’s efforts ‘governmental power’ gp will likely lead levels co2 emissions exceed country’s carrying capacity determined national strategic plan findings study show co2 emissions expected growth rate 2723 percent 20202034 reaching 9588 mt co2 eq 2034 nonrecursive varx model provides mean absolute percentage error mape 112 root mean square error rmse 125 research nonrecursive varx model used co2 emissions forecasted rise continuously established period rise exceeds carrying capacity thailand according criteria set thai government
"Kasetsart University, King Mongkut’s University of Technology North Bangkok, Chulalongkorn University",2020 trans tech publications ltd switzerlandconventional cement production process emits tons carbon dioxide gas one greenhouse gases influence environment across world discovering alternative construction material ecofriendly process performance similar greater ordinary portland cement attractive find research presented green construction materials socalled geopolymers metakaolin substituted high calcium fly ash 20 40 60 80 100 wt researches reported geopolymer produced metakaolin fly ash alkali solution gave great result usually used fly ash containing low calcium component compressive strength 3 7 28 curing days flowability conducted compressive strength geopolymers blended high calcium fly ash still developed curing day increased revealed highest 28 days especially mk40 high calcium fly ash 60 wt geopolymer pastes prepared higher amount high calcium fly ash exhibited less viscous proved high amount high calcium fly ash applied gave extraordinary compressive strength furthermore xray diffraction xray fluorescence used investigate chemical properties well microstructure scanning electron microscope phase analysis existence oxides calcium sulfur high calcium fly ash resulted formation thenardite calcite portlandite csh phase associating geopolymeric phase therefore research proposed opportunity geopolymer production using abundant high calcium fly ash raise value industrial waste products green alternative construction material compared opc
"National University of Singapore, Mahidol University, Chulalongkorn University, Fisheries Admin-istration, Wonders of the Mekong Project, Khon Kaen University, University of Nevada",ting hui ng et althe tonle sap lake cambodia crucial freshwater biodiversity hotspot supports one world’s largest inland fisheries within tonle sap basin freshwater molluscs provide vital ecosystem services among fauna targetted commercial harvesting despite importance freshwater molluscs tonle sap basin remain poorly studied historical literature reviewed least 153 species freshwater molluscs previously recorded throughout cambodia including 33 tonle sap basin surveys tonle sap lake surrounding watershed also conducted found 31 species 15 bivalves five families 16 gastropods eight families tonle sap basin including three new records cambodia scaphula minuta novaculina siamensis wattebledia siamensis presence globally invasive pomacea maculata potential pest species like limnoperna fortunei study represents comprehensive documentation freshwater molluscs tonle sap basin voucher specimens deposited inland fisheries research development institute cambodia represent first known reference collection freshwater molluscs country order combat combined anthropogenic pressures including invasive species climate change dams along mekong river multipronged approach urgently required study biodiversity ecology ecosystem functioning freshwater molluscs aquatic fauna tonle sap basin
"Chulalongkorn University, Public Works Research Institute (PWRI), Mahidol University, The office of Mr. Toshiyuki Adachi",2020 fuji technology press rights reservedthis paper aims identify root causes exacerbated economic damage 2011 chao phraya river flood disaster central thailand industrial complex area finding root causes crucial learning disasters however much investigation economic damage root causes regard 2011 chao phraya river flood disaster paper seeks investigate root causes economic damage organizing existing analytical frameworks tools approaches clarify industrial parks estates experienced substantial economic devastation resonated worldwide study’s research design includes social background survey indepth interview surveys investigation disaster’s root causes research inadequate urban land use planning facilitated decentralization policy foreign companies settlement country involved urbanization relocation without proper risk assessment information knowledge supplier’s responsibility based supply chain’s structure detected root causes high economic damage industrial complex area study also provides key lessons essential building regional resilience industrial complex areas 1 considering potential risks regional planning include socioeconomic climate changes 2 clarifying roles companies regions nations sharing risk information related stakeholders disaster 3 building horizontal vertical collaborations among related stakeholders
Chulalongkorn University,2020 thai society higher eduation institutes environment rights reservedthis study investigated development physical chemical properties geopolymer brick palm oil fuel ash adding concrete residue palm oil fuel ash mixed concrete residue five ratios 1000 9010 8020 7030 6040 weight ten molar alkaline activator solution prepared naoh na2sio3 weight ratio 25 physical mechanical properties bricks analyzed according thai standard tis 772545 chemical properties investigated brick structure life cycle assessment lca using simapro 733 economical feasibility calculated results showed calcium oxide concrete residue reduced pore volume increased formation calcium silicate hydrate gel developed compressive strength using 40 concrete residue geopolymer brick produced highest compressive strength 1253 mpa geopolymer bricks made palm oil fuel ash concrete residue optimal ratio 6040 low impact climate change 1849 break even volume 577428 pieces payback period 388 years
"Krirk University, Chulalongkorn University, Huaqiao University",2020 authorsenvironmental actions without protection desire skills vain task education create thirst motive encouragement community reason expected open students future green new horizons environmental awareness teaching methods research tools enhance students environmental literacy largely promoting lowcarbon energysaving sustainable life case necessary deeply understand students environmental awareness teach strict curriculum mapping design reinforce students environmental competence cope currently extreme climate change aiming students tungfang design university taiwan total 221 students experimental objects preceded computeraided instruction integrated environmental education experimental teaching preceded 3 hours per week 15 weeks total 45 hours research results show positive relations 1 environmental education learning outcome 2 learning outcome environmental literacy 3 environmental education environmental literacy suggestions proposed according results expecting assist domestic students enhancing selfdevelopment awareness responsibility environmental issues especially internationally concerned environmental issues guide goal environmental education social prospective
"Srinakharinwirot University, Chulalongkorn University, Suan Dusit University",2020 econjournals rights reservedthe purpose study discover approach outputs farms maximum minimal input malaysia well known crop rubber rice palm oil tea prior studies show due climate change likely chances farms malaysia will go extinct study main focus efficiently use energy resources save future prolonged manner data collected website department statistics malaysia official portal data taken rubber crops category order run analysis nonparametric approach used also knows data envelopment analysis used explore efficient use energy resources findings suggest rubber farms technical efficient compared farms results show many factors counts sums efficiency farm whilst studying technical efficiency study finds soil climate conditions contributes efficiency productivity farms
"Mahachulalongkornrajavidyalaya University, North Bangkok University, Chulalongkorn University",2020 econjournals rights reservedthis paper examines dynamic causal relationships pollutant emissions energy consumption output panel 4 asian mmvt countries period 19712005 except vietnam 19902005 longrun equilibrium energy consumption positive statistically significant impact co2 emissions short term changes emissions driven mostly error correction term short term energy consumption shocks opposed short term output shocks country shortterm deviations long term equilibrium take 077 years myanmar 484 years malaysia correct panel causality results indicate energy consumption–emissions bidirectional strong causality energy consumption–output bidirectional longrun causality along unidirectional strong shortrun causalities emissions energy consumption respectively output overall order reduce co2 emissions adversely affect economic growth increasing energy supply investment energy efficiency stepping energy conservation policies reduce unnecessary wastage energy initiated energydependent mmvt countries
"Suan Sunandha Rajabhat University, Chulalongkorn University",2020 excelingtech pub ukthe main purpose current study examine supply chain integration product modularity antecedents market valuation study carried supply chain solar industry thailand reason solar industry chosen greater emphasis rising oil prices global regulatory environment climate change resulted increased adoption clean technology processes next decades solar energy considered important technology stemming fastpaced innovation huge technological investment infant industry solar energy supply chain evolving rapidly entrance new well already established firms study used sempls analyses data gathered firms solar industry findings study argue aggregated product modularity affects supply chain flexibility supply chains ability delivering product variety across supply chain aggregated product modularity important sc construct shows product modularity supply chain whole
"King Mongkut’s University of Technology Thonburi, Chulalongkorn University, Iron and Steel Institute of Thailand",2020 authorssince 1990s co2 emissions increased steadily line growth production use energy manufacturing sector thailand logarithmic mean divisia index method used analysing sources changes co2 emissions well co2 emission intensity sector 2000–2018 average throughout period amount co2 emissions co2 emission intensity increased year relative baseline structural change effect effect changes manufacturing production composition reduced intensity effect effect changes co2 emissions individual industries increased amount co2 emissions co2 emission intensity unfavourable co2 emission intensity change came increased energy intensity individual industries increased use coal electricity raised co2 emissions whereas insignificant change emission factors showed little impact therefore study calls policies decrease energy intensity industry limiting use coal reducing electricity used manufacturing sector thailand make positive contribution international community’s effort achieve goal co2 emissions reduction
"Hunan University, Chulalongkorn University",2021 american chemical societyaminebased co2 capture promising method limit global co2 emissions however large thermal energy consumption co2 desorption amine regeneration limited largescale worldwide applications show efficient mcm41so3h06 catalyst presented superior catalytic performance decreasing relative heat duty onethird enhancing instantaneous desorption rate 195 comparison monoethanolamine mea regeneration without catalysts excellent catalytic activity related combination properties mesopore surface area × total acid sites possible catalytic mechanism proposed mcm41so3h catalysts furthermore experimental results mea solution regeneration process consistent density functional theory calculations revealing catalytic desorption mechanism work demonstrated mcm41 functionalized sulfonic acid group catalysts play essential role postcombustion co2 capture technology using aqueous mea industrial applications
